review_rate,accepted_error_sef,accepted_error_confidence,accepted_error_hybrid
0.0,0.11083333333333334,0.11083333333333334,0.11083333333333334
0.05,0.10238095238095238,0.10538847117794486,0.10463659147869674
0.1,0.09788359788359788,0.09735449735449736,0.09814814814814815
0.15000000000000002,0.09411764705882353,0.09215686274509804,0.09103641456582633
0.2,0.09017857142857143,0.08720238095238095,0.08467261904761905
0.25,0.08968253968253968,0.07825396825396826,0.07920634920634921
0.30000000000000004,0.08843537414965986,0.07363945578231293,0.07261904761904762
0.35000000000000003,0.08608058608058608,0.06446886446886448,0.06703296703296703
0.4,0.08373015873015872,0.05694444444444444,0.0626984126984127
0.45,0.0841991341991342,0.05303030303030303,0.05844155844155844
0.5,0.08190476190476191,0.04690476190476191,0.055952380952380955
